Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Robusta,Uganda,300,60,2013.0,,7.83,8.08,7.75,7.92,8.0,8.25,10.0,10.0,7.92,8.0,83.75,0.12,0,0.0,Green,2
Robusta,India,320,60,2017.0,Washed / Wet,8.0,7.75,7.92,8.0,8.0,7.92,10.0,10.0,7.92,8.0,83.5,0.0,0,0.0,,2
Robusta,India,300,2,2015.0,,7.92,7.83,7.92,8.0,7.83,7.83,10.0,10.0,7.92,8.0,83.25,0.0,0,0.0,Green,0
Robusta,Uganda,320,60,2013.0,,8.0,7.92,7.92,7.75,7.75,7.83,10.0,10.0,7.75,8.08,83.0,0.12,0,0.0,Green,7
Robusta,Uganda,1,60,2013.0,,8.33,7.83,7.83,7.75,7.58,8.25,10.0,10.0,7.75,7.67,83.0,0.12,0,0.0,Green,3
Robusta,India,200,1,2012.0,,8.0,7.92,7.67,8.0,7.75,7.75,10.0,10.0,7.92,7.75,82.75,0.0,0,0.0,Green,0
Robusta,India,320,2,2014.0,,7.67,7.75,7.83,7.83,8.0,7.92,10.0,10.0,7.75,7.83,82.58,0.0,0,0.0,Green,0
Robusta,India,320,60,2017.0,Washed / Wet,7.67,7.75,7.83,7.67,7.92,7.92,10.0,10.0,7.83,7.92,82.5,0.1,0,0.0,Bluish-Green,0
Robusta,India,320,60,2015.0,Washed / Wet,7.67,7.75,7.58,7.83,7.92,7.83,10.0,10.0,8.0,7.92,82.5,0.09,0,0.0,Green,0
Robusta,Uganda,320,60,2014.0,,7.67,7.83,7.83,7.83,7.75,7.92,10.0,10.0,7.75,7.83,82.42,0.12,0,0.0,Green,6
Robusta,Uganda,320,60,2014.0,,7.58,7.92,7.75,7.83,7.67,7.5,10.0,10.0,7.67,7.83,81.75,0.12,0,0.0,Green,1
Robusta,India,320,60,2015.0,Natural / Dry,7.67,7.83,7.75,7.5,7.75,7.75,10.0,10.0,7.58,7.75,81.58,0.11,0,0.0,Green,0
Robusta,India,100,2,2014.0,,7.58,7.58,7.67,7.58,7.5,7.67,10.0,10.0,7.67,8.33,81.58,0.0,0,0.0,Green,1
Robusta,Uganda,1,60,2013.0,,8.0,7.75,7.75,7.58,7.58,7.67,10.0,10.0,7.5,7.67,81.5,0.11,0,0.0,Green,7
Robusta,Uganda,320,60,2014.0,,8.0,7.67,7.75,7.5,7.58,7.67,10.0,10.0,7.58,7.75,81.5,0.12,0,0.0,Green,2
Robusta,India,300,1,2015.0,,7.75,7.75,7.67,7.67,7.58,7.58,10.0,10.0,7.58,7.83,81.42,0.0,0,0.0,Green,0
Robusta,India,140,2,2013.0,Natural / Dry,7.5,7.5,7.25,7.83,7.83,7.67,10.0,10.0,7.83,7.83,81.25,0.13,0,0.0,Blue-Green,0
Robusta,Uganda,1,60,2013.0,,7.33,7.58,7.5,7.75,7.75,7.75,10.0,10.0,7.67,7.58,80.92,0.12,0,0.0,Green,1
Robusta,Uganda,20,60,2013.0,,7.83,7.58,7.33,7.67,7.75,7.5,10.0,10.0,7.5,7.42,80.58,0.12,0,0.0,Green,2
Robusta,Uganda,6,60,2013.0,,7.75,7.42,7.33,7.58,7.67,7.67,10.0,10.0,7.58,7.5,80.5,0.12,0,0.0,Green,1
Robusta,India,100,2,2014.0,,7.67,7.67,7.5,7.33,7.42,7.58,10.0,10.0,7.5,7.5,80.17,0.0,0,0.0,Bluish-Green,1
Robusta,India,250,2,2013.0,Natural / Dry,7.58,7.42,7.42,7.83,7.42,7.42,10.0,10.0,7.5,7.58,80.17,0.0,0,0.0,Green,0
